Instance BestCost BestTime(s) AvgCost AvgTime(s)
n20w100l2_1, 303.271, 0.838139, 328.944, 0.80301
n20w100l2_2 246.888 0.850077 261.083 0.839814
n20w100l2_3 329.851 0.652981 352.188 0.645561
n20w100l2_4 333.736 0.715206 360.37 0.674815
n20w100l2_5 365.488 0.737288 392.255 0.756286
n20w20l2_1 302.997 0.728311 325.549 0.730627
n20w20l2_2 382.061 0.779594 391.746 0.810536
n20w20l2_3 481.743 0.579773 504.985 0.561122
n20w20l2_4 304.707 0.716286 321.457 0.70482
n20w20l2_5 339.698 0.690586 370.067 0.694268
n40w100l4_1 586.64 3.95426 598.529 3.80471
n40w100l4_2 467.144 3.90718 483.911 3.79611
n40w100l4_3 465.844 4.03559 489.798 4.11392
n40w100l4_4 459.504 3.59316 470.368 3.63781
n40w100l4_5 426.211 3.97925 452.689 3.87487
n40w20l4_1 809.946 3.35473 871.401 3.41853
n40w20l4_2 608.532 3.7983 700.211 3.71983
n40w20l4_3 561.465 3.71297 597.13 3.68565
n40w20l4_4 570.615 3.67049 594.386 3.62444
n40w20l4_5 841.882 3.66247 882.926 3.50081
n60w100l6_1 683.69 11.8276 693.635 11.4416
n60w100l6_2 661.3 10.7202 712.423 10.6839
n60w100l6_3 625.707 11.0815 675.228 11.3222
n60w100l6_4 648.128 11.4541 688.866 11.0339
n60w100l6_5 636.996 11.2953 667.181 10.9799
n60w20l6_1 736.951 10.4076 768.991 10.3869
n60w20l6_2 972.093 10.4159 1013.64 10.4557
n60w20l6_3 1000.11 10.9907 1087.96 10.8949
n60w20l6_4 1142.51 10.0306 1191.16 10.055
n60w20l6_5 1000.06 10.3471 1044.65 10.0852
n100w100l10_1 651.337 45.7684 723.601 46.8074
n100w100l10_2 550.407 48.4673 691.094 47.2923
n100w100l10_3 654.717 49.0301 752.099 47.0262
n100w100l10_4 683.779 45.31 745.029 45.9037
n100w100l10_5 738.892 43.6186 783.892 47.1048
n100w20l10_1 837.248 47.2963 960.366 46.1234
n100w20l10_2 967.885 52.2085 1032.4 46.0083
n100w20l10_3 1063.72 47.0963 1089.64 45.6741
n100w20l10_5 1072.53 43.5056 1157.62 45.0354
